title,description,product_type,tags,release_date,discontinued_date,variant_size,variant_color,price,sku,inventory_quantity,variant_id
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XS,White,22,CCT-WH-XS,18,51278529593674
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,S,White,22,CCT-WH-S,71,51278529626442
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,M,White,22,CCT-WH-M,48,51278529659210
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,L,White,22,CCT-WH-L,15,51278529691978
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XL,White,22,CCT-WH-XL,64,51278529724746
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XS,Black,22,CCT-BL-XS,32,51278529757514
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,S,Black,22,CCT-BL-S,31,51278529790282
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,M,Black,22,CCT-BL-M,55,51278529823050
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,L,Black,22,CCT-BL-L,59,51278529855818
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XL,Black,22,CCT-BL-XL,0,51278529888586
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XS,Navy,22,CCT-NA-XS,65,51278529921354
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,S,Navy,22,CCT-NA-S,15,51278529954122
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,M,Navy,22,CCT-NA-M,17,51278529986890
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,L,Navy,22,CCT-NA-L,29,51278530019658
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XL,Navy,22,CCT-NA-XL,12,51278530052426
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XS,White,20,SFCT-WH-XS,48,51278530085194
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,S,White,20,SFCT-WH-S,75,51278530117962
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,M,White,20,SFCT-WH-M,57,51278530150730
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,L,White,20,SFCT-WH-L,54,51278530183498
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XL,White,20,SFCT-WH-XL,80,51278530216266
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XS,Black,20,SFCT-BL-XS,61,51278530249034
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,S,Black,20,SFCT-BL-S,76,51278530281802
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,M,Black,20,SFCT-BL-M,18,51278530314570
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,L,Black,20,SFCT-BL-L,5,51278530347338
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XL,Black,20,SFCT-BL-XL,44,51278530380106
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XS,Grey,20,SFCT-GR-XS,80,51278530412874
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,S,Grey,20,SFCT-GR-S,60,51278530445642
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,M,Grey,20,SFCT-GR-M,21,51278530478410
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,L,Grey,20,SFCT-GR-L,7,51278530511178
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XL,Grey,20,SFCT-GR-XL,21,51278530543946
Heavyweight Oversized Tee,Heavyweight Oversized Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"streetwear, heavyweight",2024-01-01,,XS,Beige,30,HOT-BE-XS,37,51278530576714
Heavyweight Oversized Tee,Heavyweight Oversized Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"streetwear, heavyweight",2024-01-01,,S,Beige,30,HOT-BE-S,77,51278530609482
Heavyweight Oversized Tee,Heavyweight Oversized Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"streetwear, heavyweight",2024-01-01,,M,Beige,30,HOT-BE-M,73,51278530642250
Heavyweight Oversized Tee,Heavyweight Oversized Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"streetwear, heavyweight",2024-01-01,,L,Beige,30,HOT-BE-L,38,51278530675018
Heavyweight Oversized Tee,Heavyweight Oversized Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"streetwear, heavyweight",2024-01-01,,XL,Beige,30,HOT-BE-XL,26,51278530707786
Heavyweight Oversized Tee,Heavyweight Oversized Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"streetwear, heavyweight",2024-01-01,,XS,Olive,30,HOT-OL-XS,78,51278530740554
